#L TT           EE           TE
30 1.544448E+02 1.441366E-02 1.825836E-01
31 1.457443E+02 1.701667E-02 -4.489896E-02
32 1.368491E+02 1.530423E-02 7.885635E-03
33 1.938961E+02 1.543182E-02 6.774011E-01
34 2.080984E+02 1.544600E-02 4.478730E-01
35 1.316802E+02 1.755894E-02 2.465846E-01
36 1.889407E+02 1.925223E-02 2.839230E-01
37 1.568803E+02 1.661943E-02 1.415704E-01
38 1.470963E+02 1.449250E-02 1.541678E-01
39 1.684966E+02 1.132556E-02 3.811145E-02
40 1.717997E+02 1.407528E-02 8.606024E-02
41 1.760701E+02 1.678255E-02 7.531492E-02
42 1.805770E+02 1.189281E-02 -8.835440E-02
43 1.492013E+02 1.663515E-02 -6.623441E-02
44 1.938340E+02 1.709572E-02 -1.850766E-01
45 2.039373E+02 1.658557E-02 -1.381863E-01
46 1.487408E+02 1.609896E-02 -4.070703E-02
47 1.843615E+02 2.082766E-02 -2.109220E-02
48 1.986221E+02 2.157779E-02 -7.344190E-02
49 1.636235E+02 2.488142E-02 5.136792E-02
50 2.171302E+02 1.394098E-02 -5.484720E-02
51 1.958655E+02 1.132552E-02 -1.988521E-01
52 1.839195E+02 1.507644E-02 1.133737E-01
53 2.284574E+02 1.685459E-02 2.396108E-01
54 2.073612E+02 1.510216E-02 -5.221116E-02
55 2.076783E+02 1.777958E-02 7.660277E-02
56 2.352987E+02 2.507860E-02 1.845235E-01
57 2.104502E+02 2.863283E-02 1.937882E-01
58 2.215095E+02 2.492741E-02 1.500740E-01
59 2.076790E+02 1.827411E-02 5.999076E-02
60 1.986980E+02 1.681464E-02 9.452838E-02
61 2.264022E+02 1.803680E-02 -2.395950E-02
62 2.343711E+02 2.056825E-02 -4.818721E-01
63 2.080085E+02 2.163503E-02 -9.419252E-02
64 2.120095E+02 2.479424E-02 3.343219E-01
65 2.638373E+02 3.456646E-02 2.700322E-01
66 2.265788E+02 2.631574E-02 7.320027E-03
67 2.188064E+02 2.157011E-02 -7.408212E-03
68 2.411272E+02 1.990262E-02 8.293951E-02
69 2.311995E+02 1.715235E-02 1.157938E-01
70 2.486687E+02 2.533219E-02 2.434530E-01
71 2.395030E+02 2.897126E-02 1.044840E-01
72 2.260330E+02 2.599225E-02 -4.473296E-01
73 2.174258E+02 3.427084E-02 -4.558992E-01
74 2.446929E+02 5.895237E-02 -2.218922E-01
75 2.359595E+02 3.905223E-02 2.245325E-01
76 2.200432E+02 2.997653E-02 1.794789E-01
77 2.156943E+02 2.841118E-02 -7.836929E-02
78 2.370951E+02 3.594483E-02 -7.527206E-02
79 2.275580E+02 2.730268E-02 -1.508043E-01
80 2.648447E+02 3.816281E-02 -1.966155E-01
81 2.869190E+02 8.321571E-02 1.391902E-01
82 2.463712E+02 5.844407E-02 2.659001E-01
83 2.546924E+02 2.540642E-02 2.478561E-01
84 2.669771E+02 3.168148E-02 1.039922E-01
85 2.369888E+02 3.437827E-02 2.182639E-02
86 2.416005E+02 2.651109E-02 1.158154E-01
87 2.605610E+02 3.370986E-02 6.965171E-02
88 2.607870E+02 3.466463E-02 -1.445110E-01
89 3.115798E+02 3.563475E-02 -1.672024E-01
90 3.075120E+02 2.909126E-02 -2.267781E-03
91 3.085046E+02 3.675247E-02 -3.252666E-01
92 3.357129E+02 4.499590E-02 -5.868468E-01
93 3.392608E+02 5.622970E-02 4.970229E-02
94 3.387546E+02 3.157385E-02 1.276044E-01
95 3.544684E+02 2.363095E-02 -2.379912E-01
96 3.105589E+02 2.888610E-02 -5.520887E-02
97 3.427138E+02 5.940424E-02 3.168346E-01
