#L TT           EE           TE
10 2.789670E+02 1.393111E-03 1.126992E-01
11 1.988052E+02 7.292601E-04 3.566878E-02
12 1.686322E+02 7.218091E-04 1.224459E-01
13 2.958208E+01 6.665872E-04 -2.377442E-02
14 7.233911E+01 9.829282E-04 3.239198E-02
15 2.247443E+02 2.004332E-03 1.774048E-01
16 1.712565E+02 7.069535E-04 1.125916E-01
17 2.611465E+02 8.630611E-04 7.353033E-02
18 9.666083E+01 3.916932E-04 6.736717E-03
19 2.928466E+02 1.448819E-03 6.032818E-02
20 2.309994E+02 2.044550E-03 2.868460E-01
21 1.897460E+02 2.658137E-03 1.119368E-01
22 1.683991E+02 9.156540E-04 5.296448E-02
23 9.278211E+01 2.241924E-03 4.295031E-02
24 3.113186E+02 7.300508E-04 1.275589E-01
25 2.011956E+02 2.670053E-03 1.696921E-02
26 6.523823E+01 3.178065E-03 5.920220E-02
27 8.405413E+01 3.050470E-03 9.233685E-02
28 7.044110E+01 1.221154E-03 1.610858E-02
29 1.998245E+02 2.221460E-03 -1.773122E-02
30 9.911158E+01 5.640263E-03 5.018948E-03
31 1.000727E+02 1.726219E-03 -1.111588E-02
32 1.195857E+02 2.604335E-03 -8.074656E-02
33 6.514291E+01 1.994930E-03 -3.112901E-02
34 1.006930E+02 3.052727E-03 8.755234E-02
35 9.831134E+01 1.372198E-03 -9.101959E-02
36 1.157690E+02 3.747831E-03 2.266843E-01
37 1.001644E+02 4.811997E-03 -4.932523E-02
38 8.043100E+01 2.515176E-03 7.365945E-02
39 1.253215E+02 2.164119E-03 -6.866889E-02
40 1.724541E+02 8.118618E-03 -5.614590E-02
41 1.298542E+02 4.361432E-03 -9.650902E-02
42 1.282680E+02 3.712798E-03 2.258017E-02
43 7.315984E+01 8.399390E-03 1.322349E-01
44 5.654082E+01 3.583299E-03 -3.917247E-02
45 9.835711E+01 5.441715E-03 7.320553E-02
46 1.320466E+02 2.551680E-03 2.922254E-02
47 9.751010E+01 3.391062E-03 4.823645E-02
48 1.151775E+02 1.080207E-02 1.291020E-01
49 1.041460E+02 4.943765E-03 6.974744E-02
50 1.219237E+02 8.247581E-03 6.834845E-02
51 1.041912E+02 4.338800E-03 2.288104E-01
52 4.296830E+01 1.007119E-02 -6.718662E-02
53 1.117929E+02 7.772633E-03 8.182835E-02
54 6.158653E+01 4.742113E-03 1.238603E-02
55 1.051334E+02 6.572129E-03 -7.843052E-02
56 3.672913E+01 4.884085E-03 -6.517595E-02
57 1.672880E+02 5.222051E-03 -1.959621E-01
58 5.922215E+01 1.686769E-02 -7.021929E-03
59 1.642846E+02 9.899880E-03 -9.488952E-02
60 7.806613E+01 6.431370E-03 -4.201564E-02
61 8.716841E+01 1.420002E-02 7.699765E-02
62 1.379848E+02 7.886109E-03 1.601006E-01
63 1.546721E+02 6.228059E-03 9.513393E-02
64 1.550412E+02 5.579983E-04 -2.097793E-02
65 1.032461E+02 6.510388E-03 3.653706E-02
66 2.024285E+02 1.081472E-02 -2.412627E-01
67 7.125913E+01 4.763909E-03 -8.064966E-02
68 7.558808E+01 1.516551E-02 5.163036E-02
69 5.999764E+01 2.893687E-02 3.706976E-03
70 1.825617E+02 1.201555E-02 -5.952552E-02
71 5.378801E+01 1.495637E-02 2.698647E-01
72 2.843724E+02 3.284122E-03 -3.427894E-02
73 1.150907E+02 1.396568E-02 -1.750964E-01
74 8.488490E+01 1.715641E-02 -1.651303E-01
75 1.239853E+02 9.278224E-03 1.500307E-02
76 7.126395E+01 1.001091E-02 2.120645E-01
77 7.781741E+01 9.395504E-03 -1.289096E-01
78 9.318312E+01 3.391295E-03 -6.725180E-02
79 3.265735E+02 5.073492E-03 -1.982895E-01
80 1.352167E+02 1.764985E-02 -2.036709E-01
81 6.328814E+01 6.383555E-03 -5.194331E-02
82 1.826330E+02 6.691781E-03 5.213875E-03
83 1.583746E+02 8.832285E-03 4.343846E-02
84 1.132040E+02 2.067548E-02 -2.447535E-01
