#L TT           EE
10 5.480768E-07 1.096154E-06
11 6.577087E-07 1.315417E-06
12 7.773134E-07 1.554627E-06
13 9.068926E-07 1.813785E-06
14 1.046448E-06 2.092896E-06
15 1.195982E-06 2.391963E-06
16 1.355495E-06 2.710991E-06
17 1.524992E-06 3.049983E-06
18 1.704473E-06 3.408945E-06
19 1.893941E-06 3.787881E-06
20 2.093399E-06 4.186797E-06
21 2.302849E-06 4.605698E-06
22 2.522295E-06 5.044590E-06
23 2.751739E-06 5.503478E-06
24 2.991185E-06 5.982369E-06
25 3.240635E-06 6.481270E-06
26 3.500094E-06 7.000187E-06
27 3.769564E-06 7.539128E-06
28 4.049050E-06 8.098100E-06
29 4.338555E-06 8.677110E-06
30 4.638083E-06 9.276166E-06
31 4.947639E-06 9.895277E-06
32 5.267226E-06 1.053445E-05
33 5.596849E-06 1.119370E-05
34 5.936512E-06 1.187302E-05
35 6.286220E-06 1.257244E-05
36 6.645978E-06 1.329196E-05
37 7.015791E-06 1.403158E-05
38 7.395663E-06 1.479133E-05
39 7.785600E-06 1.557120E-05
40 8.185607E-06 1.637121E-05
41 8.595690E-06 1.719138E-05
42 9.015854E-06 1.803171E-05
43 9.446105E-06 1.889221E-05
44 9.886448E-06 1.977290E-05
45 1.033689E-05 2.067378E-05
46 1.079744E-05 2.159487E-05
47 1.126809E-05 2.253619E-05
48 1.174887E-05 2.349774E-05
49 1.223977E-05 2.447954E-05
50 1.274080E-05 2.548160E-05
51 1.325196E-05 2.650393E-05
52 1.377327E-05 2.754655E-05
53 1.430474E-05 2.860947E-05
54 1.484636E-05 2.969271E-05
55 1.539814E-05 3.079628E-05
56 1.596010E-05 3.192020E-05
57 1.653224E-05 3.306448E-05
58 1.711457E-05 3.422913E-05
59 1.770709E-05 3.541418E-05
60 1.830982E-05 3.661963E-05
61 1.892276E-05 3.784551E-05
62 1.954591E-05 3.909183E-05
63 2.017930E-05 4.035861E-05
64 2.082293E-05 4.164586E-05
65 2.147680E-05 4.295360E-05
66 2.214092E-05 4.428185E-05
67 2.281531E-05 4.563062E-05
68 2.349997E-05 4.699994E-05
69 2.419491E-05 4.838983E-05
70 2.490015E-05 4.980029E-05
71 2.561568E-05 5.123135E-05
72 2.634152E-05 5.268304E-05
73 2.707768E-05 5.415536E-05
74 2.782417E-05 5.564833E-05
75 2.858099E-05 5.716199E-05
76 2.934817E-05 5.869634E-05
77 3.012571E-05 6.025141E-05
78 3.091361E-05 6.182722E-05
79 3.171189E-05 6.342378E-05
80 3.252056E-05 6.504113E-05
81 3.333964E-05 6.667928E-05
82 3.416912E-05 6.833825E-05
83 3.500903E-05 7.001806E-05
84 3.585937E-05 7.171874E-05
85 3.672015E-05 7.344031E-05
86 3.759139E-05 7.518278E-05
87 3.847310E-05 7.694620E-05
88 3.936528E-05 7.873057E-05
89 4.026796E-05 8.053591E-05
90 4.118113E-05 8.236227E-05
91 4.210482E-05 8.420965E-05
92 4.303904E-05 8.607808E-05
93 4.398379E-05 8.796758E-05
94 4.493909E-05 8.987819E-05
95 4.590496E-05 9.180992E-05
96 4.688140E-05 9.376280E-05
97 4.786843E-05 9.573685E-05
98 4.886605E-05 9.773211E-05
99 4.987429E-05 9.974859E-05
100 5.089316E-05 1.017863E-04
101 5.192267E-05 1.038453E-04
102 5.296282E-05 1.059256E-04
103 5.401365E-05 1.080273E-04
104 5.507515E-05 1.101503E-04
105 5.614734E-05 1.122947E-04
106 5.723024E-05 1.144605E-04
107 5.832386E-05 1.166477E-04
108 5.942822E-05 1.188564E-04
109 6.054332E-05 1.210866E-04
110 6.166918E-05 1.233384E-04
111 6.280583E-05 1.256117E-04
112 6.395326E-05 1.279065E-04
113 6.511149E-05 1.302230E-04
114 6.628055E-05 1.325611E-04
115 6.746044E-05 1.349209E-04
116 6.865118E-05 1.373024E-04
117 6.985279E-05 1.397056E-04
118 7.106527E-05 1.421305E-04
119 7.228865E-05 1.445773E-04
120 7.352294E-05 1.470459E-04
121 7.476815E-05 1.495363E-04
122 7.602431E-05 1.520486E-04
123 7.729142E-05 1.545828E-04
124 7.856951E-05 1.571390E-04
125 7.985858E-05 1.597172E-04
126 8.115866E-05 1.623173E-04
127 8.246975E-05 1.649395E-04
128 8.379189E-05 1.675838E-04
129 8.512507E-05 1.702501E-04
130 8.646933E-05 1.729387E-04
131 8.782467E-05 1.756493E-04
132 8.919112E-05 1.783822E-04
133 9.056868E-05 1.811374E-04
134 9.195738E-05 1.839148E-04
135 9.335724E-05 1.867145E-04
136 9.476826E-05 1.895365E-04
137 9.619047E-05 1.923809E-04
138 9.762389E-05 1.952478E-04
139 9.906853E-05 1.981371E-04
140 1.005244E-04 2.010488E-04
141 1.019915E-04 2.039831E-04
142 1.034700E-04 2.069399E-04
143 1.049597E-04 2.099193E-04
144 1.064607E-04 2.129214E-04
145 1.079730E-04 2.159460E-04
146 1.094967E-04 2.189934E-04
147 1.110318E-04 2.220635E-04
148 1.125782E-04 2.251564E-04
149 1.141361E-04 2.282721E-04
150 1.157053E-04 2.314107E-04
151 1.172860E-04 2.345721E-04
152 1.188782E-04 2.377564E-04
153 1.204818E-04 2.409637E-04
154 1.220970E-04 2.441940E-04
155 1.237236E-04 2.474473E-04
156 1.253618E-04 2.507237E-04
157 1.270116E-04 2.540232E-04
158 1.286729E-04 2.573458E-04
159 1.303458E-04 2.606916E-04
160 1.320303E-04 2.640607E-04
161 1.337265E-04 2.674530E-04
162 1.354343E-04 2.708686E-04
163 1.371538E-04 2.743076E-04
164 1.388850E-04 2.777700E-04
165 1.406279E-04 2.812558E-04
166 1.423825E-04 2.847650E-04
167 1.441489E-04 2.882978E-04
168 1.459270E-04 2.918541E-04
169 1.477170E-04 2.954340E-04
170 1.495188E-04 2.990375E-04
171 1.513324E-04 3.026647E-04
172 1.531578E-04 3.063157E-04
173 1.549952E-04 3.099903E-04
174 1.568444E-04 3.136888E-04
175 1.587056E-04 3.174111E-04
176 1.605787E-04 3.211574E-04
177 1.624637E-04 3.249275E-04
178 1.643608E-04 3.287216E-04
179 1.662699E-04 3.325397E-04
180 1.681909E-04 3.363819E-04
181 1.701241E-04 3.402482E-04
182 1.720693E-04 3.441386E-04
183 1.740266E-04 3.480532E-04
184 1.759960E-04 3.519920E-04
185 1.779776E-04 3.559551E-04
186 1.799713E-04 3.599426E-04
187 1.819772E-04 3.639544E-04
188 1.839953E-04 3.679906E-04
189 1.860256E-04 3.720513E-04
190 1.880682E-04 3.761364E-04
191 1.901231E-04 3.802462E-04
192 1.921902E-04 3.843805E-04
193 1.942697E-04 3.885394E-04
194 1.963615E-04 3.927231E-04
195 1.984657E-04 3.969314E-04
196 2.005823E-04 4.011646E-04
197 2.027113E-04 4.054226E-04
198 2.048527E-04 4.097054E-04
199 2.070066E-04 4.140132E-04
200 2.091730E-04 4.183459E-04
201 2.113518E-04 4.227037E-04
202 2.135432E-04 4.270865E-04
203 2.157472E-04 4.314944E-04
204 2.179637E-04 4.359275E-04
205 2.201929E-04 4.403857E-04
206 2.224346E-04 4.448693E-04
207 2.246891E-04 4.493781E-04
208 2.269562E-04 4.539123E-04
209 2.292360E-04 4.584719E-04
210 2.315285E-04 4.630570E-04
211 2.338338E-04 4.676675E-04
212 2.361518E-04 4.723036E-04
213 2.384826E-04 4.769653E-04
214 2.408263E-04 4.816526E-04
215 2.431828E-04 4.863657E-04
216 2.455522E-04 4.911045E-04
217 2.479345E-04 4.958691E-04
218 2.503298E-04 5.006595E-04
219 2.527379E-04 5.054758E-04
220 2.551591E-04 5.103181E-04
221 2.575932E-04 5.151865E-04
222 2.600404E-04 5.200808E-04
223 2.625006E-04 5.250013E-04
224 2.649740E-04 5.299479E-04
225 2.674604E-04 5.349207E-04
226 2.699599E-04 5.399198E-04
227 2.724726E-04 5.449453E-04
228 2.749985E-04 5.499971E-04
229 2.775376E-04 5.550753E-04
230 2.800900E-04 5.601799E-04
231 2.826556E-04 5.653112E-04
232 2.852345E-04 5.704690E-04
233 2.878267E-04 5.756534E-04
234 2.904323E-04 5.808645E-04
235 2.930512E-04 5.861024E-04
236 2.956835E-04 5.913670E-04
237 2.983293E-04 5.966585E-04
238 3.009885E-04 6.019769E-04
239 3.036612E-04 6.073223E-04
240 3.063474E-04 6.126947E-04
241 3.090471E-04 6.180942E-04
242 3.117604E-04 6.235207E-04
243 3.144873E-04 6.289745E-04
244 3.172278E-04 6.344555E-04
245 3.199819E-04 6.399638E-04
246 3.227497E-04 6.454994E-04
247 3.255312E-04 6.510625E-04
248 3.283265E-04 6.566530E-04
249 3.311355E-04 6.622710E-04
250 3.339583E-04 6.679166E-04
251 3.367949E-04 6.735899E-04
252 3.396454E-04 6.792908E-04
253 3.425097E-04 6.850194E-04
254 3.453879E-04 6.907759E-04
255 3.482801E-04 6.965602E-04
256 3.511862E-04 7.023725E-04
257 3.541063E-04 7.082127E-04
258 3.570405E-04 7.140809E-04
259 3.599886E-04 7.199773E-04
260 3.629509E-04 7.259018E-04
261 3.659272E-04 7.318545E-04
262 3.689177E-04 7.378355E-04
263 3.719224E-04 7.438448E-04
264 3.749412E-04 7.498825E-04
265 3.779743E-04 7.559486E-04
266 3.810216E-04 7.620432E-04
267 3.840832E-04 7.681665E-04
268 3.871591E-04 7.743183E-04
269 3.902494E-04 7.804988E-04
270 3.933540E-04 7.867081E-04
271 3.964731E-04 7.929462E-04
272 3.996066E-04 7.992131E-04
273 4.027545E-04 8.055090E-04
274 4.059169E-04 8.118339E-04
275 4.090939E-04 8.181878E-04
276 4.122854E-04 8.245708E-04
277 4.154915E-04 8.309830E-04
278 4.187122E-04 8.374245E-04
279 4.219476E-04 8.438952E-04
280 4.251977E-04 8.503953E-04
281 4.284624E-04 8.569249E-04
282 4.317420E-04 8.634839E-04
283 4.350362E-04 8.700725E-04
284 4.383453E-04 8.766907E-04
285 4.416693E-04 8.833385E-04
286 4.450081E-04 8.900161E-04
287 4.483618E-04 8.967235E-04
288 4.517304E-04 9.034608E-04
289 4.551140E-04 9.102280E-04
290 4.585126E-04 9.170252E-04
291 4.619262E-04 9.238525E-04
292 4.653549E-04 9.307099E-04
293 4.687987E-04 9.375974E-04
294 4.722576E-04 9.445153E-04
295 4.757317E-04 9.514634E-04
296 4.792210E-04 9.584420E-04
297 4.827255E-04 9.654509E-04
298 4.862452E-04 9.724904E-04
299 4.897803E-04 9.795605E-04
300 4.933306E-04 9.866613E-04
301 4.968964E-04 9.937927E-04
302 5.004775E-04 1.000955E-03
303 5.040740E-04 1.008148E-03
304 5.076860E-04 1.015372E-03
305 5.113135E-04 1.022627E-03
306 5.149565E-04 1.029913E-03
307 5.186151E-04 1.037230E-03
308 5.222892E-04 1.044578E-03
309 5.259790E-04 1.051958E-03
310 5.296845E-04 1.059369E-03
311 5.334056E-04 1.066811E-03
312 5.371425E-04 1.074285E-03
313 5.408951E-04 1.081790E-03
314 5.446636E-04 1.089327E-03
315 5.484478E-04 1.096896E-03
316 5.522480E-04 1.104496E-03
317 5.560640E-04 1.112128E-03
318 5.598960E-04 1.119792E-03
319 5.637439E-04 1.127488E-03
320 5.676079E-04 1.135216E-03
321 5.714879E-04 1.142976E-03
322 5.753839E-04 1.150768E-03
323 5.792961E-04 1.158592E-03
324 5.832244E-04 1.166449E-03
325 5.871689E-04 1.174338E-03
326 5.911297E-04 1.182259E-03
327 5.951067E-04 1.190213E-03
328 5.990999E-04 1.198200E-03
329 6.031095E-04 1.206219E-03
330 6.071355E-04 1.214271E-03
331 6.111778E-04 1.222356E-03
332 6.152366E-04 1.230473E-03
333 6.193119E-04 1.238624E-03
334 6.234037E-04 1.246807E-03
335 6.275120E-04 1.255024E-03
336 6.316369E-04 1.263274E-03
337 6.357784E-04 1.271557E-03
338 6.399366E-04 1.279873E-03
339 6.441115E-04 1.288223E-03
340 6.483030E-04 1.296606E-03
341 6.525114E-04 1.305023E-03
342 6.567366E-04 1.313473E-03
343 6.609786E-04 1.321957E-03
344 6.652375E-04 1.330475E-03
345 6.695132E-04 1.339026E-03
346 6.738060E-04 1.347612E-03
347 6.781157E-04 1.356231E-03
348 6.824425E-04 1.364885E-03
349 6.867863E-04 1.373573E-03
350 6.911473E-04 1.382295E-03
351 6.955254E-04 1.391051E-03
352 6.999206E-04 1.399841E-03
353 7.043331E-04 1.408666E-03
354 7.087629E-04 1.417526E-03
355 7.132099E-04 1.426420E-03
356 7.176743E-04 1.435349E-03
357 7.221561E-04 1.444312E-03
358 7.266552E-04 1.453310E-03
359 7.311719E-04 1.462344E-03
360 7.357060E-04 1.471412E-03
361 7.402577E-04 1.480515E-03
362 7.448269E-04 1.489654E-03
363 7.494137E-04 1.498827E-03
364 7.540182E-04 1.508036E-03
365 7.586404E-04 1.517281E-03
366 7.632803E-04 1.526561E-03
367 7.679380E-04 1.535876E-03
368 7.726135E-04 1.545227E-03
369 7.773068E-04 1.554614E-03
370 7.820180E-04 1.564036E-03
371 7.867472E-04 1.573494E-03
372 7.914943E-04 1.582989E-03
373 7.962595E-04 1.592519E-03
374 8.010427E-04 1.602085E-03
375 8.058440E-04 1.611688E-03
376 8.106634E-04 1.621327E-03
377 8.155011E-04 1.631002E-03
378 8.203569E-04 1.640714E-03
379 8.252310E-04 1.650462E-03
380 8.301234E-04 1.660247E-03
381 8.350341E-04 1.670068E-03
382 8.399632E-04 1.679926E-03
383 8.449108E-04 1.689822E-03
384 8.498768E-04 1.699754E-03
385 8.548613E-04 1.709723E-03
386 8.598644E-04 1.719729E-03
387 8.648861E-04 1.729772E-03
388 8.699264E-04 1.739853E-03
389 8.749854E-04 1.749971E-03
390 8.800631E-04 1.760126E-03
391 8.851596E-04 1.770319E-03
392 8.902749E-04 1.780550E-03
393 8.954090E-04 1.790818E-03
394 9.005621E-04 1.801124E-03
395 9.057341E-04 1.811468E-03
396 9.109250E-04 1.821850E-03
397 9.161350E-04 1.832270E-03
398 9.213640E-04 1.842728E-03
399 9.266122E-04 1.853224E-03
400 9.318795E-04 1.863759E-03
401 9.371660E-04 1.874332E-03
402 9.424718E-04 1.884944E-03
403 9.477969E-04 1.895594E-03
404 9.531413E-04 1.906283E-03
405 9.585050E-04 1.917010E-03
406 9.638882E-04 1.927776E-03
407 9.692908E-04 1.938582E-03
408 9.747130E-04 1.949426E-03
409 9.801547E-04 1.960309E-03
410 9.856161E-04 1.971232E-03
411 9.910970E-04 1.982194E-03
412 9.965977E-04 1.993195E-03
413 1.002118E-03 2.004236E-03
414 1.007658E-03 2.015317E-03
415 1.013218E-03 2.026437E-03
416 1.018798E-03 2.037596E-03
417 1.024398E-03 2.048796E-03
418 1.030018E-03 2.060035E-03
419 1.035658E-03 2.071315E-03
420 1.041317E-03 2.082635E-03
421 1.046997E-03 2.093995E-03
422 1.052697E-03 2.105395E-03
423 1.058418E-03 2.116835E-03
424 1.064158E-03 2.128317E-03
425 1.069919E-03 2.139838E-03
426 1.075700E-03 2.151401E-03
427 1.081502E-03 2.163004E-03
428 1.087324E-03 2.174648E-03
429 1.093166E-03 2.186333E-03
430 1.099029E-03 2.198059E-03
431 1.104913E-03 2.209826E-03
432 1.110817E-03 2.221634E-03
433 1.116742E-03 2.233484E-03
434 1.122688E-03 2.245376E-03
435 1.128654E-03 2.257308E-03
436 1.134641E-03 2.269283E-03
437 1.140649E-03 2.281299E-03
438 1.146678E-03 2.293357E-03
439 1.152728E-03 2.305457E-03
440 1.158799E-03 2.317599E-03
441 1.164891E-03 2.329783E-03
442 1.171005E-03 2.342009E-03
443 1.177139E-03 2.354278E-03
444 1.183294E-03 2.366589E-03
445 1.189471E-03 2.378943E-03
446 1.195669E-03 2.391339E-03
447 1.201889E-03 2.403778E-03
448 1.208130E-03 2.416259E-03
449 1.214392E-03 2.428784E-03
450 1.220676E-03 2.441352E-03
451 1.226981E-03 2.453963E-03
452 1.233308E-03 2.466617E-03
